Designator,Mid X,Mid Y,Rotation,Layer
ANT1,70.656,-34.2574,270.0,top
C1,66.1761,-31.218,315.0,top
C10,64.7494,-36.7704,135.0,top
C11,67.33,-40.93,90.0,top
C12,61.77999,-41.31001,0.0,top
C13,53.82999,-31.21001,315.0,top
C14,51.93,-41.31,315.0,top
C15,43.92,-40.9,90.0,top
C16,41.32,-35.51,180.0,top
C17,40.53,-32.91,270.0,top
C19,44.62,-35.51,0.0,top
C2,64.7445,-34.0073,135.0,top
C3,47.23,-38.91,90.0,top
C4,45.43,-37.81,90.0,top
C5,45.72,-33.61,270.0,top
C6,50.73,-36.11,90.0,top
C7,63.036,-33.951,225.0,top
C8,39.93,-37.11,0.0,top
C9,65.4606,-35.3988,225.0,top
D1,38.72999,-34.91001,90.0,top
D2,39.13,-41.01,180.0,top
J1,34.1547,-36.11,270.0,top
L1,65.4557,-32.6172,225.0,top
L2,64.63,-31.91,225.0,top
L3,42.97,-33.51,0.0,top
LED1,30.651,-41.952,0.0,top
LED2,30.651,-30.268,0.0,top
R1,46.93,-37.31,0.0,top
R10,41.23,-40.9,270.0,top
R11,42.33,-40.91,270.0,top
R12,46.13,-40.91,90.0,top
R13,45.02,-40.86,90.0,top
R2,47.23,-40.91,270.0,top
R3,38.38,-37.31001,270.0,top
R4,38.398,-39.31,270.0,top
R5,38.13,-30.81,0.0,top
R6,38.13,-31.71,0.0,top
R7,33.5452,-41.444,180.0,top
R8,33.572,-30.776,0.0,top
R9,51.32999,-39.21001,270.0,top
SW1,49.32,-32.9858,270.0,top
SW2,49.32,-39.2342,90.0,top
U2,58.21,-36.11,315.0,top
U3,42.945,-38.225,90.0,top
Y1,64.79,-40.168,180.0,top
